Model,Device,Params,Size_MB,Memory_MB,Latency_ms,Throughput_tok_s
Teacher-7B,cuda,1034516480,1973.183837890625,18158.00439453125,15.738043785095215,8133.15820872369
Teacher-7B,cpu,1034516480,1973.183837890625,0.0,245.21087646484375,521.9996838857658
Student-baseline,cuda,1039026176,1981.785400390625,18158.00439453125,21.052043437957764,6080.169859863122
Student-baseline,cpu,1039026176,1981.785400390625,0.0,261.5705442428589,489.35173633754647
Student-kd1_logit,cuda,1039026176,1981.785400390625,18158.00439453125,22.11221933364868,5788.654592676702
Student-kd1_logit,cpu,1039026176,1981.785400390625,0.0,263.8936257362366,485.04392496367774
Student-kd3_feature,cuda,1039026176,1981.785400390625,18158.00439453125,20.22393226623535,6329.135121447228
Student-kd3_feature,cpu,1039026176,1981.785400390625,0.0,261.79235458374023,488.9371204270837
